name,mos
blur_dataset/motion0044.jpg,75.44372347614072
blur_dataset/out_of_focus0059.jpg,72.82277576657971
blur_dataset/out_of_focus0351.jpg,72.61479740721222
blur_dataset/out_of_focus0449.jpg,75.01366941490846
blur_dataset/out_of_focus0605.jpg,80.0351506928903
voc_emotic_ava/AVA__129332.jpg,58.65083245354351
voc_emotic_ava/AVA__12958.jpg,74.13506446177959
voc_emotic_ava/AVA__133333.jpg,67.2456257574436
voc_emotic_ava/AVA__174814.jpg,75.38893191485067
voc_emotic_ava/AVA__223003.jpg,65.9539494851206
voc_emotic_ava/AVA__224811.jpg,73.03295450368668
voc_emotic_ava/AVA__244789.jpg,68.51835128973241
voc_emotic_ava/AVA__2884.jpg,71.39559007424911
voc_emotic_ava/AVA__314611.jpg,72.93942749551327
voc_emotic_ava/AVA__326593.jpg,85.64957478191498
voc_emotic_ava/AVA__339888.jpg,77.95974116959063
voc_emotic_ava/AVA__391806.jpg,66.03133409413482
voc_emotic_ava/AVA__412273.jpg,70.59003934010626
voc_emotic_ava/AVA__420901.jpg,68.97315431914521
voc_emotic_ava/AVA__454646.jpg,71.71633189290073
voc_emotic_ava/AVA__46789.jpg,64.43637966737462
voc_emotic_ava/AVA__477254.jpg,75.72594789071063
voc_emotic_ava/AVA__492000.jpg,75.55370958207453
voc_emotic_ava/AVA__51058.jpg,74.48615917949736
voc_emotic_ava/AVA__528682.jpg,75.14840705337781
voc_emotic_ava/AVA__57083.jpg,72.8967849756336
voc_emotic_ava/AVA__576590.jpg,75.50494507780245
voc_emotic_ava/AVA__60135.jpg,78.5590820536199
voc_emotic_ava/AVA__615241.jpg,53.34484685345928
voc_emotic_ava/AVA__658908.jpg,70.36080524108579
voc_emotic_ava/AVA__671685.jpg,65.46252727382384
voc_emotic_ava/AVA__676623.jpg,79.78683133019257
voc_emotic_ava/AVA__690262.jpg,63.98447650712992
voc_emotic_ava/AVA__695578.jpg,71.52252033391983
voc_emotic_ava/AVA__709766.jpg,68.97316028354345
voc_emotic_ava/AVA__711477.jpg,78.77909308365541
voc_emotic_ava/AVA__730814.jpg,81.27673148340732
voc_emotic_ava/AVA__759655.jpg,74.18423986324605
voc_emotic_ava/AVA__77387.jpg,65.08134195649762
voc_emotic_ava/AVA__800846.jpg,75.38261028094963
voc_emotic_ava/AVA__815901.jpg,72.94755892162735
