mos_patch_1,name_patch,width_patch_1,height_patch_1,top_patch_1,left_patch_1,bottom_patch_1,right_patch_1,mos_patch_2,width_patch_2,height_patch_2,top_patch_2,left_patch_2,bottom_patch_2,right_patch_2,mos_patch_3,width_patch_3,height_patch_3,top_patch_3,left_patch_3,bottom_patch_3,right_patch_3,mos_image,name_image,width_image,height_image,top_image,left_image,bottom_image,right_image,num_pix_image,size_image,size_image_cnt,is_valid
79.47386982597524,patches/EMOTIC__cwpvmtkuw83q2or3za.jpg,480.0,264.0,206,564,470,1044,70.63982665409574,360.0,198.0,302,15,500,375,58.627736436549185,240.0,132.0,458,377,590,617,59.64871868304567,voc_emotic_ava/EMOTIC__cwpvmtkuw83q2or3za.jpg,1200.0,660.0,0,0,660,1200,792000,660x1200,1,False
93.27615712710505,patches/EMOTIC__5jr2gfirt8cy0kasjr.jpg,409.0,273.0,328,351,601,760,78.5123243087333,307.0,204.0,119,467,323,774,65.0060026318594,204.0,136.0,318,744,454,948,76.40834030039515,voc_emotic_ava/EMOTIC__5jr2gfirt8cy0kasjr.jpg,1024.0,683.0,0,0,683,1024,699392,683x1024,3,False
77.13147567283134,patches/EMOTIC__0yp3ixisn6pvw3uoph.jpg,409.0,273.0,321,324,594,733,88.47867485904241,307.0,204.0,330,701,534,1008,43.800201574544495,204.0,136.0,259,63,395,267,73.4105681779506,voc_emotic_ava/EMOTIC__0yp3ixisn6pvw3uoph.jpg,1024.0,683.0,0,0,683,1024,699392,683x1024,3,True
89.85740697368584,patches/EMOTIC__d2pnk5htt4z4qsj476.jpg,409.0,273.0,373,486,646,895,64.56270891102353,307.0,204.0,158,406,362,713,72.61456425967992,204.0,136.0,307,265,443,469,73.0225355798211,voc_emotic_ava/EMOTIC__d2pnk5htt4z4qsj476.jpg,1024.0,683.0,0,0,683,1024,699392,683x1024,3,True
63.436886134837586,patches/EMOTIC__da113prfo1fjc3v0su.jpg,409.0,272.0,246,584,518,993,75.04069581143142,307.0,204.0,466,195,670,502,83.62386416327217,204.0,136.0,102,185,238,389,76.39629186110261,voc_emotic_ava/EMOTIC__da113prfo1fjc3v0su.jpg,1024.0,682.0,0,0,682,1024,698368,682x1024,1,False
84.59718326887315,patches/EMOTIC__g3ry3pkr1npzzhoetl.jpg,409.0,272.0,272,194,544,603,74.53300624642533,307.0,204.0,53,165,257,472,81.2123516658752,204.0,136.0,119,581,255,785,80.428585159783,voc_emotic_ava/EMOTIC__g3ry3pkr1npzzhoetl.jpg,1024.0,681.0,0,0,681,1024,697344,681x1024,2,False
76.58950058179872,patches/EMOTIC__dntu40pr6jct6jk6jq.jpg,409.0,272.0,304,497,576,906,78.34613261932894,307.0,204.0,299,47,503,354,69.7723767535924,204.0,136.0,511,815,647,1019,68.55240990294323,voc_emotic_ava/EMOTIC__dntu40pr6jct6jk6jq.jpg,1024.0,681.0,0,0,681,1024,697344,681x1024,2,False
60.731015747935935,patches/motion0220.jpg,409.0,266.0,232,161,498,570,73.476492528928,307.0,199.0,89,298,288,605,52.42930854078677,204.0,133.0,366,529,499,733,33.30810215320732,blur_dataset/motion0220.jpg,1024.0,665.0,0,0,665,1024,680960,665x1024,1,True
79.31797024320385,patches/EMOTIC__02lk53bcfgyk89o8fl.jpg,409.0,260.0,241,149,501,558,61.11694470316545,307.0,195.0,204,687,399,994,71.71045386383024,204.0,130.0,307,538,437,742,73.3370196919324,voc_emotic_ava/EMOTIC__02lk53bcfgyk89o8fl.jpg,1024.0,652.0,0,0,652,1024,667648,652x1024,1,False
84.1924046028815,patches/EMOTIC__5tvh05h3kvs7u0kdwr.jpg,400.0,266.0,157,221,423,621,57.15406906683739,300.0,200.0,337,591,537,891,52.00777590059267,200.0,133.0,54,473,187,673,74.30273595845298,voc_emotic_ava/EMOTIC__5tvh05h3kvs7u0kdwr.jpg,1000.0,667.0,0,0,667,1000,667000,667x1000,4,False
